Cohort,Model,Resampling,AUC,Recall,F1-score
A,KNN,None,0.5377,0.0,0.0
A,KNN,SMOTE,0.6296,0.4658,0.1195
A,KNN,RandomOverSampler,0.538,0.1233,0.0726
A,MLP,None,0.6717,0.0,0.0
A,MLP,SMOTE,0.5978,0.1233,0.0861
A,MLP,RandomOverSampler,0.5492,0.0959,0.0664
B,KNN,None,0.5285,0.0235,0.0408
B,KNN,SMOTE,0.5347,0.4941,0.2301
B,KNN,RandomOverSampler,0.5265,0.3176,0.203
B,MLP,None,0.699,0.0,0.0
B,MLP,SMOTE,0.5452,0.2588,0.2056
B,MLP,RandomOverSampler,0.5763,0.2941,0.2577
C,KNN,None,0.491,0.0732,0.1143
C,KNN,SMOTE,0.486,0.4512,0.2183
C,KNN,RandomOverSampler,0.4973,0.3537,0.2248
C,MLP,None,0.5542,0.0,0.0
C,MLP,SMOTE,0.5893,0.3902,0.2678
C,MLP,RandomOverSampler,0.5786,0.3659,0.2765
