covariate,mean_T1,mean_T0,smd,balanced
marry,0.0,0.9004837595024188,4.25408300603333,False
age,0.29201614292163236,-0.02310701338253592,0.28438233676459196,False
hibpe,0.5414847161572053,0.40843123704215617,0.2688376515331628,False
lgrip,-0.18043841069250338,0.014277953023007642,0.21312723093031274,False
adlab_c,0.18747147508144654,-0.0148344740130118,0.20567606652302112,False
hearte,0.3537117903930131,0.26123013130615064,0.20143091441050717,False
iadl,0.17180791701959455,-0.013595028679156835,0.1866067177601178,False
satlife,2.8427947598253276,2.978576364892882,0.1828866688197195,False
gender,0.4759825327510917,0.5587422252937111,0.16619006685831103,False
pulse,0.15370216866834488,-0.01216233470112188,0.16067567101029012,False
puff,-0.1372350849665295,0.010859306999770767,0.1596977545719096,False
arthre,0.43231441048034935,0.49930891499654456,0.13460717383774065,False
chronic_low,0.4672489082969432,0.5317899101589495,0.12935175476029484,False
wspeed,0.10206489680649813,-0.008076316989871386,0.1133100854075871,False
diabe,0.1615720524017467,0.1240497581202488,0.10739786300816712,False
disability,0.37117903930131,0.3230822391154112,0.10116060065470635,False
mwaist,-0.07893017429430642,0.006245684144227392,0.08743295962291875,True
ins,0.9519650655021834,0.9689011748445059,0.08696095959999475,True
drinkev,0.45414847161572053,0.4948168624740843,0.08151052132889194,True
diasto,-0.06920926106622263,0.00547647573744421,0.0760636647727044,True
sleep,0.06641795320961005,-0.005255601687975165,0.07157182004444011,True
bmi,-0.0665276685275775,0.005264283376923132,0.07139978785679786,True
bmi_normal,0.10043668122270742,0.12059433310297167,0.06432557105983999,True
systo,-0.05573587696309247,0.004410337188855379,0.06056543723794801,True
income_total,0.04976722535143343,-0.003938042365404136,0.05441782436118072,True
fall_down,0.23580786026200873,0.2588113337940567,0.053335837724206414,True
family_size,0.04863889073180134,-0.0038487581125026516,0.05169164453359844,True
edu,2.069868995633188,2.1199032480995164,0.051534655513243696,True
rural,0.5851528384279476,0.6053904630269523,0.04123940854912752,True
cancre,0.021834061135371178,0.01624049758120249,0.0409402844001368,True
stroke,0.07860262008733625,0.06807187284035937,0.04040402582358361,True
lunge,0.17903930131004367,0.1938493434692467,0.03803352581934754,True
srh,2.6593886462882095,2.6361437456807186,0.027478795224777097,True
retire,0.2314410480349345,0.22598479612992398,0.012991227725282476,True
exercise,0.5152838427947598,0.5214236351071182,0.012288097917052326,True
pension,0.7729257641921398,0.7712508638562543,0.003992758552221371,True
had_comorbidity_before,0.0,0.0,0.0,True
