cohort_label,baseline_group,scenario_label,trim_lo,trim_hi,trim_force,n_before_trim,n_after_trim,treatment_col,ate,ate_lb,ate_ub,p_value_approx
Cohort_A,0,main_same_band_legacy_rule,0.05,0.95,False,8828,8828,exercise,-0.0019524372664711817,-0.010332204220088568,0.006475171432915248,0.6488439544087563
Cohort_A,0,sensitivity_01_99,0.01,0.99,True,8828,8825,exercise,-0.0015967247814077852,-0.011195423956548153,0.005394613694547482,0.705962320413928
Cohort_A,0,sensitivity_03_97,0.03,0.97,True,8828,8811,exercise,-0.0010783574575076408,-0.010573339163805519,0.005212049505281996,0.7888613585800495
Cohort_B,1,main_same_band_legacy_rule,0.05,0.95,False,3123,3123,exercise,-0.0211933008342323,-0.04326691871456486,0.003212267720699757,0.07386993779298501
Cohort_B,1,sensitivity_01_99,0.01,0.99,True,3123,3119,exercise,-0.02333822985828314,-0.04110170426324581,0.002317215388149107,0.03511319304440441
Cohort_B,1,sensitivity_03_97,0.03,0.97,True,3123,3100,exercise,-0.021878886463574658,-0.04091759140364482,0.0007890134177701835,0.03974450100517979
Cohort_C,2,main_same_band_legacy_rule,0.05,0.95,False,2435,2435,exercise,0.03450015450225855,0.0016361526434195705,0.057800765575956814,0.016043140037307335
Cohort_C,2,sensitivity_01_99,0.01,0.99,True,2435,2435,exercise,0.03450015450225855,0.0016470320195991414,0.05762895788788179,0.01570109155308086
Cohort_C,2,sensitivity_03_97,0.03,0.97,True,2435,2433,exercise,0.03452892002887204,0.0021261674128366247,0.05945418882575843,0.018224095017976172
