Variable,Healthy,Depression only,Cognition impaired only,P
N,8828,3123,2435,
—— Biological factors ——,,,,
"Age, years",66.6053 ± 5.3550,66.0605 ± 5.0712,67.7220 ± 6.2018,<0.001
BMI,23.8357 ± 3.8651,23.4550 ± 3.8759,23.2721 ± 4.0600,<0.001
"Waist circumference, cm",86.9543 ± 12.0712,85.3781 ± 12.4374,85.5026 ± 11.4251,<0.001
Female,5832 (66.0625%),1726 (55.2674%),1340 (55.0308%),<0.001
Male,2996 (33.9375%),1397 (44.7326%),1095 (44.9692%),
Fall in past year,1179 (13.3583%),803 (25.7289%),378 (15.5300%),<0.001
Has disability,1813 (21.2171%),1014 (33.9017%),587 (25.5662%),<0.001
"Pulse, /min",72.6152 ± 10.8654,72.5864 ± 10.5264,72.8172 ± 10.5116,0.5780
"Systolic BP, mmHg",131.7652 ± 20.3725,130.7383 ± 20.6604,133.9152 ± 21.7497,<0.001
"Diastolic BP, mmHg",75.2534 ± 12.2087,74.8601 ± 12.3642,74.7429 ± 11.5527,0.4363
"Grip strength (max), kg",31.0223 ± 9.2752,28.2385 ± 9.4879,27.9773 ± 9.2264,<0.001
"Walking speed, m/s",3.5648 ± 1.5149,3.9028 ± 1.7226,4.0733 ± 2.0800,<0.001
Hypertension,3211 (37.3285%),1291 (42.1895%),789 (33.2211%),<0.001
Diabetes,964 (11.2420%),396 (13.0564%),189 (7.9713%),<0.001
Cancer,133 (1.5481%),52 (1.7077%),17 (0.7149%),0.0167
Lung disease,1136 (13.2185%),601 (19.7373%),329 (13.8235%),<0.001
Heart disease,1731 (20.1513%),835 (27.4400%),322 (13.5408%),<0.001
Stroke,337 (3.9145%),215 (7.0399%),100 (4.1982%),<0.001
Arthritis,2874 (33.3643%),1505 (49.4091%),831 (34.9895%),<0.001
ADL difficulties,0.1546 ± 0.5269,0.5447 ± 1.0688,0.2380 ± 0.6766,<0.001
IADL difficulties,0.1553 ± 0.5322,0.5472 ± 1.0083,0.3092 ± 0.7584,<0.001
—— Psychological factors ——,,,,
  Self-rated health: Very bad,162 (1.8353%),257 (8.2293%),66 (2.7127%),<0.001
  Self-rated health: Bad,1042 (11.8047%),1001 (32.0525%),355 (14.5910%),
  Self-rated health: Average,5090 (57.6640%),1576 (50.4643%),1368 (56.2269%),
  Self-rated health: Good,1502 (17.0160%),194 (6.2120%),359 (14.7554%),
  Self-rated health: Very good,1031 (11.6801%),95 (3.0419%),285 (11.7139%),
  Life satisfaction: Very bad,21 (0.2382%),114 (3.6621%),13 (0.5365%),<0.001
  Life satisfaction: Bad,271 (3.0736%),454 (14.5840%),83 (3.4255%),
  Life satisfaction: Average,5299 (60.0998%),2032 (65.2747%),1304 (53.8176%),
  Life satisfaction: Good,2756 (31.2578%),443 (14.2306%),898 (37.0615%),
  Life satisfaction: Very good,470 (5.3306%),70 (2.2486%),125 (5.1589%),
—— Social factors ——,,,,
Rural residence,4206 (47.6439%),1886 (60.3907%),1612 (66.2012%),<0.001
Socially isolated,460 (5.2107%),229 (7.3327%),203 (8.3368%),<0.001
Has pension,6797 (84.5293%),2144 (78.3912%),1721 (79.7128%),<0.001
Has insurance,8410 (96.9788%),2982 (96.7240%),2281 (95.2401%),<0.001
Retired,3273 (37.4143%),703 (22.7434%),348 (14.4458%),<0.001
  Education: Below primary school,2100 (23.8068%),1019 (32.6393%),1516 (62.2843%),<0.001
  Education: Primary school,2954 (33.4883%),1064 (34.0807%),592 (24.3221%),
  Education: Middle school,2264 (25.6660%),695 (22.2614%),256 (10.5177%),
  Education: Senior high school and above,1503 (17.0389%),344 (11.0186%),70 (2.8759%),
  Marital status: Unmarried/Divorced/Widowed,986 (11.1703%),517 (16.5599%),436 (17.9129%),<0.001
  Marital status: Married,7841 (88.8297%),2605 (83.4401%),1998 (82.0871%),
Family size,3.0589 ± 1.6446,3.0384 ± 1.6236,3.1441 ± 1.7596,0.4506
Log(income+1),9.5428 ± 2.2293,8.9022 ± 2.4238,8.5549 ± 2.6128,<0.001
—— Lifestyle (intervenable) ——,,,,
Sleep hours,6.4755 ± 1.5828,5.6783 ± 1.8316,6.5349 ± 1.9091,<0.001
Regular exercise,4694 (53.1717%),1627 (52.0973%),1213 (49.8152%),0.0127
Current drinking,4784 (54.2342%),1534 (49.1509%),1129 (46.3846%),<0.001
Adequate sleep (≥6h),6552 (74.4461%),1647 (53.0435%),1733 (72.0882%),<0.001
—— Defining variables ——,,,,
Cognition score (defining),13.8889 ± 1.9757,13.1728 ± 1.8018,8.0025 ± 1.8691,<0.001
CES-D-10 (defining),4.1425 ± 2.7762,14.3762 ± 4.1184,4.7815 ± 2.7140,<0.001
—— Outcome ——,,,,
"Incident comorbidity, follow-up",366 (4.1459%),426 (13.6407%),411 (16.8789%),<0.001
