exposure,cohort,n,label,XLearner_ATE,XLearner_CI,PSM_ATE,PSM_CI,PSW_ATE,PSW_CI
bmi_normal,Cohort_A,8828,Normal BMI (18.5-24),0.0019,"(-0.0065, 0.0167)",0.0018,"(-0.0054, 0.0090)",-0.0202,"(-0.0410, 0.0006)"
bmi_normal,Cohort_B,3123,Normal BMI (18.5-24),0.0164,"(-0.0090, 0.0483)",-0.0015,"(-0.0222, 0.0193)",-0.0211,"(-0.0580, 0.0159)"
bmi_normal,Cohort_C,2435,Normal BMI (18.5-24),0.0137,"(-0.0208, 0.0600)",-0.0327,"(-0.0594, -0.0060)",-0.0087,"(-0.0530, 0.0357)"
chronic_low,Cohort_A,8828,Low chronic disease burden (≤1),-0.0062,"(-0.0193, 0.0021)",0.0394,"(0.0300, 0.0489)",-0.0047,"(-0.0120, 0.0027)"
chronic_low,Cohort_B,3123,Low chronic disease burden (≤1),-0.0123,"(-0.0299, 0.0159)",0.094,"(0.0615, 0.1266)",-0.0151,"(-0.0324, 0.0022)"
chronic_low,Cohort_C,2435,Low chronic disease burden (≤1),0.0442,"(0.0033, 0.0818)",0.0128,"(-0.0309, 0.0564)",0.0265,"(0.0045, 0.0484)"
drinkev,Cohort_A,8828,Drinking,-0.0056,"(-0.0145, 0.0017)",0.0036,"(-0.0037, 0.0108)",-0.0022,"(-0.0110, 0.0065)"
drinkev,Cohort_B,3123,Drinking,0.0205,"(-0.0116, 0.0474)",0.0216,"(-0.0014, 0.0446)",0.0175,"(-0.0078, 0.0427)"
drinkev,Cohort_C,2435,Drinking,0.0273,"(-0.0071, 0.0621)",0.0215,"(-0.0089, 0.0520)",0.026,"(-0.0050, 0.0571)"
exercise,Cohort_A,8828,Exercise,-0.0014,"(-0.0098, 0.0070)",-0.0124,"(-0.0205, -0.0043)",-0.0069,"(-0.0156, 0.0017)"
exercise,Cohort_B,3123,Exercise,-0.0213,"(-0.0417, 0.0034)",-0.0194,"(-0.0423, 0.0036)",-0.0314,"(-0.0560, -0.0069)"
exercise,Cohort_C,2435,Exercise,0.0347,"(0.0024, 0.0586)",0.0368,"(0.0073, 0.0662)",0.0217,"(-0.0085, 0.0520)"
is_socially_isolated,Cohort_A,8828,Social isolation,0.0035,"(-0.0179, 0.0322)",-0.95,"(-0.9699, -0.9301)",-0.0054,"(-0.0192, 0.0084)"
is_socially_isolated,Cohort_B,3123,Social isolation,0.0015,"(-0.0456, 0.0472)",0.1485,"(0.1023, 0.1946)",0.006,"(-0.0151, 0.0270)"
is_socially_isolated,Cohort_C,2435,Social isolation,0.0081,"(-0.0491, 0.0690)",0.1823,"(0.1290, 0.2355)",0.0065,"(-0.0200, 0.0329)"
sleep_adequate,Cohort_A,8828,Adequate sleep (≥6h),-0.0154,"(-0.0268, -0.0080)",-0.0101,"(-0.0169, -0.0033)",-0.0151,"(-0.0252, -0.0050)"
sleep_adequate,Cohort_B,3123,Adequate sleep (≥6h),-0.0225,"(-0.0482, -0.0018)",-0.0067,"(-0.0292, 0.0158)",-0.0227,"(-0.0471, 0.0017)"
sleep_adequate,Cohort_C,2435,Adequate sleep (≥6h),-0.0114,"(-0.0421, 0.0181)",-0.0082,"(-0.0335, 0.0170)",-0.0082,"(-0.0417, 0.0253)"
